time,focus
50,1
100,1
150,1
200,1
250,1
300,1
350,1
400,2
450,2
500,2
550,2
600,2
650,2
700,2
750,2
800,2
850,2
900,2
950,2
1000,2
1050,2
1100,2
1150,2
1200,3
1250,3
1300,3
1350,3
1400,3
1450,3
1500,3
1550,1
1600,1
1650,1
1700,1
1750,1
1800,1
1850,1
1900,1
1950,1
2000,1
2050,1
2100,2
2150,2
2200,2
2250,2
2300,2
2350,2
2400,2
2450,2
2500,1
2550,1
2600,1
2650,1
2700,1
2750,1
2800,1
2850,2
2900,2
2950,2
3000,2
3050,2
3100,3
3150,3
3200,3
3250,3
3300,3
3350,3
3400,3
3450,3
3500,3
3550,3
3600,3
3650,3
3700,3
3750,3
3800,3
3850,3
3900,3
3950,3
4000,3
4050,3
4100,3
4150,3
4200,3
4250,3
4300,3
4350,3
4400,3
4450,3
4500,3
4550,3
4600,3
4650,3
4700,3
4750,3
4800,3
4850,3
4900,3
4950,3
5000,2
5050,2
5100,2
5150,2
5200,2
5250,2
5300,2
5350,2
5400,2
5450,2
5500,2
5550,2
5600,2
5650,2
5700,2
5750,2
5800,2
5850,2
5900,2
5950,2
6000,2
6050,2
6100,3
6150,3
6200,3
6250,3
6300,3
6350,3
6400,2
6450,2
6500,2
6550,2
6600,2
6650,2
6700,2
6750,2
6800,2
6850,2
6900,2
6950,2
7000,2
7050,2
7100,2
7150,2
7200,2
7250,2
7300,2
50,1
100,1
150,1
200,1
250,1
300,1
350,1
400,1
450,1
500,1
550,1
600,1
650,1
700,1
750,1
800,1
850,1
900,1
950,1
1000,1
1050,1
1100,1
1150,1
1200,1
1250,1
1300,1
1350,1
1400,1
1450,1
1500,1
1550,1
1600,1
1650,1
1700,1
1750,1
1800,1
1850,1
1900,1
1950,1
2000,1
2050,1
2100,1
2150,1
2200,1
2250,1
2300,1
2350,1
2400,1
2450,1
2500,1
2550,1
2600,3
2650,3
2700,3
2750,3
2800,3
2850,3
2900,3
2950,3
3000,3
3050,3
3100,2
3150,2
3200,2
3250,2
3300,2
3350,2
3400,2
3450,2
3500,2
3550,1
3600,1
3650,1
3700,1
3750,1
3800,1
3850,1
3900,1
3950,1
4000,1
4050,1
4100,1
4150,1
4200,1
4250,1
4300,1
4350,1
4400,1
4450,1
4500,1
4550,1
4600,1
4650,1
4700,1
4750,1
4800,1
4850,1
4900,1
4950,1
5000,1
5050,1
5100,1
5150,1
5200,1
5250,1
5300,1
5350,1
5400,1
5450,1
5500,1
5550,1
5600,1
5650,1
5700,1
5750,1
5800,1
5850,1
5900,1
5950,1
6000,1
6050,1
6100,1
6150,1
6200,1
6250,1
6300,1
6350,1
6400,1
6450,1
6500,1
6550,1
6600,1
6650,1
6700,1
6750,1
6800,1
6850,1
6900,1
6950,1
7000,1
7050,1
7100,1
7150,1
7200,1
7250,1
7300,1
7350,1
7400,1
7450,1
7500,1
7550,1
7600,1
7650,1
7700,1
7750,1
7800,1
7850,1
7900,1
7950,1
8000,1
8050,1
8100,1
8150,1
8200,1
8250,1
8300,1
8350,1
8400,1
8450,1
8500,1
8550,1
8600,1
8650,1
8700,1
8750,1
8800,1
8850,1
8900,1
8950,1
9000,1
9050,1
9100,1
9150,1
9200,1
9250,1
9300,1
9350,1
9400,1
9450,1
9500,1
9550,1
9600,1
9650,1
9700,1
9750,1
9800,1
9850,1
9900,1
9950,1
10000,1
10050,1
10100,1
10150,1
10200,1
10250,1
10300,1
10350,1
10400,1
10450,1
10500,1
10550,1
10600,1
10650,1
10700,1
10750,1
10800,1
10850,1
10900,1
10950,1
11000,1
11050,1
11100,1
11150,1
11200,1
11250,1
11300,1
11350,1
11400,1
11450,1
11500,1
11550,1
11600,1
11650,1
11700,1
11750,1
11800,1
11850,1
11900,1
11950,1
12000,1
12050,1
12100,1
12150,1
12200,1
12250,1
12300,3
12350,3
12400,3
12450,3
12500,3
12550,3
12600,3
12650,3
12700,3
12750,2
12800,2
12850,2
12900,2
12950,2
13000,2
13050,2
13100,2
13150,1
13200,1
13250,1
13300,1
13350,1
13400,1
13450,1
13500,1
13550,1
13600,1
50,2
100,2
150,1
200,1
250,1
300,1
350,1
400,1
450,1
500,1
50,2
100,2
150,2
200,2
250,2
300,2
350,2
400,2
450,2
500,2
550,2
600,1
650,1
700,1
750,1
800,1
850,1
900,1
950,1
1000,1
1050,1
1100,1
1150,1
1200,1
1250,1
1300,1
1350,1
1400,1
1450,3
1500,3
1550,3
1600,3
1650,3
1700,3
1750,3
1800,3
1850,3
1900,3
1950,3
2000,3
2050,3
2100,3
2150,3
2200,3
2250,3
2300,3
2350,3
2400,3
2450,3
2500,3
2550,3
2600,3
2650,3
2700,3
2750,3
2800,3
2850,3
2900,3
2950,3
3000,3
3050,3
3100,3
3150,3
3200,1
3250,1
3300,1
3350,1
3400,1
3450,1
3500,1
3550,1
3600,1
3650,1
3700,1
3750,1
3800,1
3850,2
3900,2
3950,2
4000,2
4050,2
4100,2
4150,2
4200,2
4250,2
4300,2
4350,2
4400,2
4450,2
4500,2
4550,2
4600,2
4650,2
4700,2
4750,2
4800,2
4850,2
4900,2
4950,3
5000,3
5050,3
5100,3
5150,3
5200,3
5250,3
5300,3
5350,3
5400,3
5450,3
5500,3
5550,3
5600,3
5650,3
5700,3
5750,3
5800,3
5850,3
5900,3
5950,3
6000,3
6050,3
6100,3
6150,3
6200,3
6250,3
6300,3
6350,3
6400,3
6450,3
6500,3
6550,3
6600,3
6650,3
6700,3
6750,3
6800,3
6850,3
6900,3
6950,3
7000,3
7050,3
7100,3
7150,3
7200,3
7250,3
7300,3
7350,3
7400,3
7450,3
7500,3
7550,3
7600,3
7650,3
7700,3
7750,1
7800,1
7850,1
7900,1
7950,1
8000,1
8050,1
8100,1
8150,1
8200,1
8250,1
8300,1
8350,1
8400,1
8450,1
8500,1
8550,1
8600,1
8650,1
8700,1
8750,1
8800,2
8850,2
8900,2
8950,2
9000,2
9050,2
9100,2
9150,2
9200,3
9250,3
9300,3
9350,3
9400,3
9450,3
9500,2
9550,2
9600,2
9650,2
9700,2
9750,2
9800,2
9850,2
9900,2
9950,2
10000,2
10050,2
10100,2
10150,2
10200,2
10250,2
10300,2
10350,2
10400,2
10450,2
10500,2
10550,2
10600,2
10650,2
10700,2
10750,2
10800,2
10850,2
10900,2
10950,3
11000,3
11050,3
11100,3
11150,3
11200,3
11250,3
11300,3
50,3
100,3
150,3
200,3
250,3
300,3
350,3
400,1
450,1
500,1
550,1
600,1
650,1
700,1
750,1
800,1
850,1
900,1
950,1
1000,2
1050,2
1100,2
1150,2
1200,2
1250,2
1300,1
1350,1
50,1
100,1
150,1
200,2
250,2
300,2
350,2
400,3
450,3
500,3
550,3
600,3
650,1
700,1
750,1
50,1
100,1
150,1
200,1
250,1
300,1
350,1
400,1
450,1
500,2
550,2
600,2
650,2
700,3
750,3
800,3
850,3
900,3
950,3
1000,3
1050,3
1100,1
1150,1
1200,1
1250,1
1300,1
1350,1
1400,1
1450,1
1500,1
1550,1
1600,2
1650,2
1700,2
1750,2
1800,2
1850,1
1900,1
1950,1
2000,1
2050,1
2100,1
50,3
100,3
150,3
200,3
250,3
300,3
350,3
400,3
450,3
500,2
550,2
600,2
650,2
700,2
750,1
800,1
850,1
900,1
950,1
1000,1
1050,1
1100,1
1150,1
1200,1
1250,1
1300,1
1350,1
1400,1
1450,1
1500,1
1550,1
1600,1
50,2
100,2
150,2
200,1
250,1
300,1
350,1
400,1
50,2
100,2
150,2
200,2
250,2
300,2
350,2
400,2
450,2
500,2
550,2
600,3
650,3
700,3
750,3
800,3
850,1
900,1
950,1
1000,1
1050,1
1100,2
1150,2
1200,2
1250,1
1300,1
1350,1
1400,1
1450,1
1500,3
1550,3
1600,3
1650,3
1700,3
1750,2
1800,2
1850,2
1900,2
1950,2
2000,2
2050,2
50,3
100,3
150,3
200,3
250,3
300,3
350,3
400,3
450,1
500,1
550,1
600,1
650,1
700,1
750,1
800,1
850,2
900,2
950,2
1000,2
1050,2
1100,2
1150,2
1200,2
1250,2
1300,2
1350,3
1400,3
1450,3
1500,1
1550,1
1600,1
1650,1
1700,1
1750,1
1800,1
1850,1
1900,1
1950,1
2000,1
2050,1
2100,3
2150,3
2200,3
2250,3
2300,3
2350,3
2400,3
2450,3
2500,2
2550,2
2600,2
2650,2
2700,2
2750,2
2800,2
2850,2
2900,2
2950,2
3000,2
3050,2
3100,2
3150,2
3200,1
3250,1
3300,1
3350,1
3400,1
3450,1
3500,1
3550,1
3600,1
3650,2
3700,2
3750,2
3800,2
3850,2
3900,2
3950,2
4000,2
4050,2
4100,2
4150,2
4200,2
4250,2
4300,2
4350,1
4400,1
4450,1
4500,1
4550,1
4600,1
4650,1
4700,1
4750,1
4800,1
4850,1
4900,1
4950,1
5000,1
5050,1
5100,1
5150,1
5200,1
5250,3
5300,3
5350,3
50,1
100,1
150,1
200,1
250,1
300,1
350,1
400,1
450,2
500,2
550,2
600,2
650,2
700,2
750,2
800,2
850,2
900,3
950,3
1000,3
1050,3
1100,3
1150,3
1200,3
1250,3
1300,3
1350,3
1400,3
1450,3
