choice,value,subject,trial,rt,fixations,fix_times
1,"[7.0, 3.0, 4.0]",9,97,886,"[2, 1, 3]","[140, 379, 40]"
2,"[3.0, 7.0, 6.0]",9,73,809,"[3, 1, 2]","[120, 159, 220]"
2,"[1.0, 9.0, 2.0]",11,73,1282,"[2, 1, 3, 2]","[378, 239, 159, 140]"
1,"[2.0, 5.0, 3.0]",26,43,4046,"[2, 1, 3, 1, 3, 2, 1]","[140, 296, 298, 578, 519, 998, 619]"
2,"[1.0, 3.0, 6.0]",6,46,2994,"[2, 1, 3, 2]","[438, 380, 403, 1357]"
3,"[5.0, 2.0, 6.0]",28,8,3258,"[2, 1, 3, 1, 2, 3, 2]","[240, 517, 537, 297, 558, 558, 20]"
2,"[1.0, 8.0, 4.0]",9,42,1139,"[1, 2, 3]","[180, 338, 300]"
3,"[4.0, 1.0, 8.0]",7,45,4179,"[1, 3, 1, 2, 3]","[139, 1555, 1036, 399, 478]"
3,"[2.0, 3.0, 8.0]",5,63,874,"[3, 1]","[199, 258]"
2,"[5.0, 7.0, 1.0]",20,84,1021,"[1, 2]","[20, 324]"
3,"[1.0, 2.0, 3.0]",10,10,3059,"[1, 3, 2, 1, 3]","[239, 498, 439, 438, 957]"
3,"[2.0, 1.0, 7.0]",20,51,1511,"[1, 3, 2, 3]","[258, 206, 229, 115]"
2,"[2.0, 5.0, 1.0]",11,16,1566,"[1, 2, 3, 1]","[277, 299, 179, 338]"
2,"[2.0, 10.0, 1.0]",20,56,1653,"[2, 3, 2]","[307, 265, 415]"
3,"[4.0, 8.0, 10.0]",26,17,1343,"[2, 3, 1]","[38, 207, 190]"
2,"[5.0, 2.0, 3.0]",7,77,4602,"[2, 1, 3, 2]","[1276, 1276, 1016, 558]"
1,"[5.0, 1.0, 2.0]",2,86,1555,"[1, 3, 2]","[219, 338, 478]"
3,"[6.0, 1.0, 7.0]",1,28,1573,"[2, 3, 2, 1, 2, 1, 3]","[79, 258, 139, 120, 281, 120, 100]"
2,"[2.0, 8.0, 3.0]",20,1,2220,"[3, 2, 1]","[515, 843, 160]"
2,"[4.0, 8.0, 3.0]",18,35,1807,"[2, 1, 3, 2]","[418, 379, 319, 179]"
3,"[5.0, 3.0, 10.0]",25,59,4461,"[2, 1, 3, 2, 1, 3]","[518, 458, 577, 539, 1553, 438]"
3,"[5.0, 1.0, 10.0]",4,89,629,"[1, 3]","[90, 279]"
1,"[7.0, 5.0, 3.0]",16,51,3612,"[2, 3, 1, 2, 3, 1, 3]","[338, 408, 696, 439, 160, 757, 281]"
3,"[6.0, 2.0, 8.0]",26,91,1086,"[1, 3, 2]","[119, 418, 220]"
3,"[2.0, 4.0, 8.0]",26,56,2280,"[3, 1, 2, 3]","[299, 419, 459, 818]"
2,"[3.0, 8.0, 1.0]",9,63,1141,"[1, 3, 2]","[276, 159, 359]"
3,"[3.0, 5.0, 7.0]",16,23,4909,"[1, 3, 2, 3, 2]","[1016, 877, 578, 1356, 638]"
3,"[3.0, 4.0, 5.0]",10,47,1292,"[2, 3, 1, 3]","[338, 199, 299, 40]"
1,"[2.0, 4.0, 3.0]",27,66,1162,"[1, 2]","[518, 219]"
2,"[1.0, 6.0, 3.0]",1,45,892,"[3, 1, 3]","[220, 200, 159]"
1,"[6.0, 2.0, 3.0]",6,57,2235,"[2, 3, 1, 2, 1]","[259, 300, 518, 378, 321]"
2,"[1.0, 9.0, 5.0]",29,19,3526,"[2, 3, 1, 3, 2]","[236, 200, 939, 378, 1293]"
3,"[3.0, 7.0, 5.0]",7,70,1729,"[2, 3]","[537, 837]"
2,"[3.0, 5.0, 1.0]",14,43,2439,"[2, 1, 3, 1, 2]","[259, 339, 439, 199, 759]"
2,"[3.0, 4.0, 1.0]",4,39,890,"[1, 2]","[198, 339]"
2,"[3.0, 7.0, 1.0]",1,86,810,"[3, 1]","[219, 199]"
1,"[9.0, 3.0, 7.0]",15,89,1539,"[2, 3, 1, 2, 1]","[140, 339, 339, 299, 20]"
1,"[4.0, 1.0, 2.0]",17,84,1525,"[3, 2, 1]","[237, 59, 602]"
2,"[2.0, 4.0, 1.0]",11,37,1347,"[1, 3, 2]","[238, 157, 619]"
3,"[6.0, 2.0, 9.0]",27,84,878,"[3, 2]","[378, 200]"
2,"[3.0, 4.0, 8.0]",10,70,2031,"[1, 3, 2]","[360, 262, 1077]"
2,"[2.0, 4.0, 3.0]",3,59,1049,[1],[260]
1,"[3.0, 6.0, 1.0]",22,85,2314,"[1, 3, 2, 3, 1]","[201, 170, 511, 478, 359]"
2,"[3.0, 4.0, 2.0]",21,95,2395,"[2, 1, 3, 2, 3, 1, 2]","[120, 219, 239, 399, 359, 558, 42]"
2,"[1.0, 8.0, 5.0]",10,21,2240,"[1, 3, 2, 3]","[518, 338, 478, 439]"
2,"[2.0, 4.0, 3.0]",17,21,2053,"[3, 1, 2, 3]","[99, 395, 478, 139]"
3,"[10.0, 4.0, 9.0]",19,84,822,"[3, 1]","[279, 220]"
3,"[9.0, 2.0, 8.0]",22,26,2316,"[2, 3, 2, 1, 2, 3]","[159, 377, 259, 459, 239, 122]"
3,"[4.0, 1.0, 3.0]",14,12,1336,"[2, 3, 1, 3]","[279, 319, 299, 99]"
3,"[5.0, 1.0, 10.0]",25,98,4563,"[1, 3, 2, 1, 2, 3]","[142, 339, 1255, 598, 1079, 698]"
2,"[1.0, 9.0, 3.0]",15,14,1207,"[2, 3, 1]","[378, 379, 120]"
1,"[9.0, 3.0, 6.0]",27,78,981,"[3, 1]","[178, 459]"
1,"[7.0, 2.0, 1.0]",20,78,845,[1],[20]
3,"[1.0, 9.0, 3.0]",20,61,1688,"[3, 2, 3]","[196, 136, 115]"
3,"[1.0, 2.0, 3.0]",1,52,1231,"[2, 3, 2]","[239, 279, 479]"
3,"[2.0, 1.0, 6.0]",24,50,3637,"[1, 3, 2, 3, 1, 3]","[438, 697, 478, 458, 578, 618]"
2,"[3.0, 7.0, 1.0]",21,79,3878,"[1, 3, 2, 1, 2, 3, 2]","[219, 277, 458, 976, 678, 498, 279]"
3,"[4.0, 3.0, 2.0]",8,78,1714,"[2, 3]","[439, 916]"
2,"[1.0, 5.0, 3.0]",12,40,1445,"[3, 2, 1, 2]","[199, 379, 260, 200]"
1,"[6.0, 3.0, 2.0]",6,10,3714,"[1, 2, 3, 1, 2, 3, 1]","[160, 398, 618, 1196, 279, 240, 161]"
1,"[3.0, 6.0, 1.0]",10,81,2091,"[1, 3, 2, 1]","[160, 398, 239, 896]"
1,"[3.0, 4.0, 5.0]",2,51,3253,"[1, 3, 2, 1, 3, 1]","[298, 278, 199, 199, 798, 856]"
3,"[5.0, 8.0, 7.0]",20,41,1332,"[1, 2, 3]","[337, 185, 215]"
1,"[4.0, 1.0, 3.0]",21,54,1353,"[1, 3, 2, 1]","[200, 219, 298, 279]"
2,"[1.0, 3.0, 4.0]",21,7,5857,"[1, 3, 2, 3, 2, 3, 2]","[616, 538, 360, 1355, 1077, 1036, 80]"
1,"[3.0, 5.0, 1.0]",20,94,1009,"[2, 1]","[554, 20]"
3,"[5.0, 2.0, 8.0]",20,14,1155,"[1, 3, 1, 3]","[223, 20, 223, 229]"
3,"[4.0, 3.0, 5.0]",8,29,1461,[3],[1077]
2,"[5.0, 2.0, 3.0]",30,53,3097,"[2, 3, 1, 2, 1, 2]","[139, 378, 678, 558, 637, 160]"
3,"[8.0, 6.0, 9.0]",9,4,772,[3],[537]
2,"[4.0, 3.0, 2.0]",30,8,1187,"[2, 1, 3]","[261, 259, 358]"
3,"[8.0, 5.0, 10.0]",28,42,1560,"[2, 1, 3]","[338, 378, 537]"
3,"[1.0, 5.0, 9.0]",29,18,4526,"[2, 3, 1, 2, 3, 2, 3]","[438, 480, 478, 637, 857, 877, 241]"
2,"[2.0, 5.0, 3.0]",3,44,1464,"[1, 3, 2]","[240, 279, 39]"
3,"[2.0, 1.0, 7.0]",30,22,1204,"[1, 3]","[239, 657]"
1,"[9.0, 3.0, 1.0]",15,74,894,"[2, 1, 3]","[120, 279, 98]"
2,"[4.0, 8.0, 5.0]",18,16,4171,"[2, 1, 3, 1, 2]","[815, 339, 538, 419, 1653]"
2,"[1.0, 4.0, 3.0]",6,22,2377,"[2, 3, 1, 3, 2]","[100, 180, 358, 319, 859]"
1,"[5.0, 2.0, 4.0]",2,68,1931,"[1, 3, 2, 1]","[259, 378, 159, 678]"
1,"[7.0, 3.0, 9.0]",9,2,1099,"[2, 1]","[239, 639]"
1,"[8.0, 4.0, 5.0]",28,68,1851,"[2, 1, 3, 2, 3, 1]","[179, 219, 240, 417, 340, 20]"
1,"[6.0, 4.0, 2.0]",2,98,1041,"[2, 1, 3]","[179, 358, 221]"
3,"[1.0, 3.0, 4.0]",17,49,1581,"[1, 3, 2]","[100, 518, 259]"
1,"[4.0, 1.0, 8.0]",11,20,1199,"[1, 3, 2, 1]","[239, 199, 259, 121]"
3,"[6.0, 3.0, 5.0]",26,55,2296,"[1, 3, 1, 2, 3, 1]","[100, 198, 318, 280, 816, 143]"
1,"[8.0, 5.0, 3.0]",26,6,2487,"[1, 3, 2, 1]","[498, 558, 260, 440]"
3,"[2.0, 9.0, 6.0]",22,54,2163,"[2, 3, 1, 3]","[1035, 220, 298, 198]"
3,"[4.0, 5.0, 9.0]",9,61,648,"[2, 3]","[139, 239]"
1,"[8.0, 5.0, 3.0]",18,38,2322,"[2, 1, 3, 1]","[698, 317, 416, 539]"
1,"[5.0, 3.0, 1.0]",7,9,5286,"[2, 1, 3, 1]","[1434, 1116, 1396, 978]"
2,"[2.0, 4.0, 3.0]",8,30,1856,[2],[1556]
2,"[2.0, 4.0, 1.0]",8,76,1640,"[1, 3, 2]","[240, 279, 738]"
2,"[5.0, 8.0, 2.0]",26,84,2489,"[1, 2, 1, 3, 2]","[418, 419, 417, 279, 545]"
1,"[3.0, 2.0, 6.0]",6,13,4359,"[2, 1, 3, 1, 3, 1]","[378, 279, 597, 1196, 896, 455]"
3,"[1.0, 2.0, 5.0]",11,13,1781,"[1, 3, 2, 3]","[279, 339, 458, 60]"
2,"[3.0, 6.0, 1.0]",30,7,1874,"[2, 1, 3, 2]","[419, 373, 379, 359]"
1,"[8.0, 3.0, 5.0]",16,88,2850,"[2, 1, 3, 2, 3, 1]","[479, 558, 279, 498, 337, 239]"
3,"[3.0, 2.0, 1.0]",6,72,3616,"[2, 3, 1, 3, 1, 3]","[120, 338, 519, 619, 498, 798]"
3,"[1.0, 3.0, 2.0]",17,64,1355,"[2, 3, 1, 2]","[157, 120, 341, 20]"
3,"[4.0, 5.0, 10.0]",20,42,2032,"[2, 1, 3]","[220, 638, 464]"
3,"[1.0, 3.0, 4.0]",2,79,1443,"[3, 1, 2, 3]","[458, 179, 279, 119]"
3,"[1.0, 2.0, 4.0]",14,7,1882,"[1, 2, 3, 1]","[80, 558, 438, 319]"
2,"[6.0, 3.0, 4.0]",27,69,2136,"[1, 3, 1, 2, 3]","[259, 339, 478, 299, 299]"
1,"[5.0, 4.0, 2.0]",30,58,1460,"[3, 1, 2, 1]","[259, 319, 379, 160]"
1,"[1.0, 2.0, 3.0]",11,52,2306,"[1, 3, 2, 3, 1]","[158, 218, 659, 100, 638]"
2,"[7.0, 4.0, 1.0]",23,7,4873,"[1, 3, 2, 1, 2]","[816, 558, 1415, 1036, 579]"
2,"[5.0, 4.0, 1.0]",30,96,1525,"[1, 2, 3, 2]","[180, 478, 397, 120]"
2,"[1.0, 7.0, 4.0]",14,80,1754,"[1, 2, 3, 2]","[279, 99, 339, 359]"
1,"[7.0, 8.0, 1.0]",23,77,3558,"[1, 3, 1, 3, 2, 1]","[80, 176, 581, 359, 1076, 717]"
3,"[8.0, 7.0, 5.0]",29,50,1740,"[2, 3]","[356, 1049]"
2,"[5.0, 9.0, 3.0]",18,65,1913,"[1, 3, 2]","[397, 598, 518]"
3,"[4.0, 2.0, 8.0]",18,77,3568,"[1, 3, 2, 3, 1, 3]","[497, 399, 399, 478, 478, 897]"
3,"[6.0, 5.0, 7.0]",8,49,1820,"[2, 1, 3]","[20, 459, 859]"
3,"[1.0, 3.0, 5.0]",6,52,2541,"[2, 1, 2, 3, 2, 3]","[179, 378, 219, 339, 159, 638]"
2,"[5.0, 3.0, 2.0]",13,77,2140,"[2, 1, 3, 2]","[239, 219, 219, 1078]"
2,"[1.0, 10.0, 2.0]",4,100,1103,"[2, 1, 2]","[179, 219, 378]"
3,"[6.0, 3.0, 10.0]",28,59,1541,"[1, 3, 2, 3]","[339, 537, 239, 77]"
3,"[4.0, 6.0, 10.0]",25,67,5431,"[1, 3, 2, 1, 3]","[259, 3987, 378, 197, 182]"
2,"[3.0, 7.0, 9.0]",9,48,734,"[2, 1]","[239, 219]"
1,"[4.0, 2.0, 1.0]",11,51,1300,"[2, 1, 3, 1]","[159, 160, 259, 100]"
2,"[5.0, 3.0, 2.0]",7,99,4335,"[2, 1, 3, 1, 3, 2]","[1336, 758, 239, 418, 599, 339]"
2,"[2.0, 4.0, 5.0]",2,43,1718,"[1, 3, 2, 3]","[186, 299, 498, 239]"
2,"[4.0, 9.0, 8.0]",18,3,6438,"[2, 1, 3, 2]","[1016, 418, 238, 4425]"
3,"[4.0, 3.0, 10.0]",26,4,1793,"[2, 1, 3]","[316, 343, 803]"
3,"[2.0, 6.0, 4.0]",29,93,4583,"[2, 3, 1, 3, 2, 1, 3, 1, 3]","[239, 279, 698, 638, 836, 340, 319, 379, 199]"
2,"[1.0, 3.0, 5.0]",2,45,2442,"[2, 3, 1, 2, 3, 2]","[259, 299, 339, 359, 578, 179]"
3,"[10.0, 6.0, 9.0]",23,97,1877,"[1, 2, 3]","[299, 221, 541]"
3,"[3.0, 2.0, 6.0]",18,66,2182,"[1, 3, 2, 3]","[656, 458, 479, 259]"
2,"[4.0, 5.0, 1.0]",29,12,2500,"[1, 3, 2]","[357, 538, 1235]"
2,"[1.0, 3.0, 2.0]",19,20,2467,"[3, 1, 2]","[312, 480, 1274]"
3,"[8.0, 5.0, 9.0]",20,28,3317,"[3, 1, 2, 3, 1, 3]","[222, 259, 808, 227, 480, 247]"
1,"[9.0, 1.0, 2.0]",20,62,977,[3],[81]
1,"[4.0, 3.0, 2.0]",2,5,2993,"[2, 1, 3, 2, 1]","[418, 454, 459, 718, 398]"
2,"[2.0, 8.0, 4.0]",27,92,1244,"[1, 3]","[299, 279]"
3,"[4.0, 8.0, 9.0]",27,37,1076,"[2, 3]","[299, 498]"
2,"[1.0, 4.0, 3.0]",14,6,2215,"[1, 3, 2, 3, 1]","[398, 319, 399, 458, 279]"
1,"[5.0, 9.0, 1.0]",15,78,1458,"[2, 1, 3, 2]","[179, 458, 279, 139]"
1,"[4.0, 1.0, 2.0]",2,60,1220,"[2, 1, 3]","[219, 479, 159]"
1,"[9.0, 5.0, 2.0]",7,12,2582,"[1, 3, 2, 1]","[716, 897, 479, 61]"
3,"[7.0, 2.0, 3.0]",26,98,4376,"[3, 1, 2, 3, 1, 3, 2, 3]","[159, 317, 478, 256, 339, 917, 996, 335]"
1,"[8.0, 1.0, 2.0]",11,88,1426,"[2, 1, 3, 2]","[158, 258, 259, 379]"
1,"[7.0, 3.0, 5.0]",15,86,2195,"[2, 3, 1, 2, 1]","[218, 355, 399, 657, 162]"
3,"[4.0, 6.0, 7.0]",8,72,1046,[3],[778]
3,"[2.0, 4.0, 7.0]",22,10,2725,"[2, 1, 3, 1, 3]","[538, 439, 461, 319, 538]"
2,"[2.0, 4.0, 3.0]",3,50,1787,[2],[239]
1,"[4.0, 1.0, 2.0]",12,5,756,"[2, 1, 2]","[140, 159, 160]"
3,"[9.0, 8.0, 10.0]",18,52,2696,"[2, 1, 3]","[974, 299, 1056]"
1,"[5.0, 3.0, 2.0]",5,15,1842,"[2, 3, 1]","[517, 319, 678]"
1,"[5.0, 3.0, 8.0]",7,76,3253,"[1, 3, 1]","[797, 1733, 438]"
2,"[1.0, 3.0, 2.0]",11,9,2052,"[3, 1, 2, 3, 2]","[79, 159, 359, 478, 538]"
1,"[8.0, 7.0, 6.0]",22,100,1422,"[3, 2, 1, 2]","[199, 199, 398, 279]"
2,"[2.0, 4.0, 3.0]",4,72,1562,"[1, 2, 3]","[298, 459, 259]"
1,"[6.0, 4.0, 1.0]",29,3,3176,"[2, 1, 3, 2, 1, 3]","[176, 457, 817, 618, 538, 100]"
3,"[2.0, 6.0, 9.0]",28,21,1817,"[2, 3, 1, 3, 1]","[278, 267, 260, 422, 181]"
3,"[1.0, 7.0, 9.0]",15,92,1462,"[1, 3, 2, 3]","[239, 438, 319, 122]"
2,"[2.0, 7.0, 5.0]",24,64,7429,"[1, 3, 1, 3, 2, 1, 3, 1, 3, 2]","[278, 577, 458, 259, 696, 200, 1057, 917, 1474, 484]"
2,"[5.0, 8.0, 9.0]",20,38,2989,"[3, 2, 1, 2, 3]","[204, 180, 28, 916, 261]"
1,"[2.0, 1.0, 5.0]",13,60,1409,"[1, 3, 2, 1]","[278, 319, 240, 141]"
2,"[5.0, 4.0, 2.0]",6,48,2294,"[1, 2, 3, 2, 1, 2]","[359, 240, 658, 179, 139, 179]"
2,"[1.0, 8.0, 4.0]",24,83,1543,"[2, 3, 1, 2]","[438, 319, 299, 218]"
3,"[2.0, 1.0, 5.0]",12,46,1086,"[3, 2, 1, 3]","[319, 159, 79, 20]"
2,"[2.0, 8.0, 1.0]",12,77,1459,"[2, 1, 3, 2]","[179, 179, 299, 438]"
2,"[2.0, 6.0, 5.0]",4,84,761,"[1, 2]","[199, 295]"
1,"[8.0, 5.0, 3.0]",28,54,1294,"[3, 2, 1]","[139, 258, 499]"
1,"[8.0, 2.0, 6.0]",5,32,1794,"[1, 3, 2]","[219, 558, 679]"
2,"[7.0, 5.0, 3.0]",21,8,3324,"[1, 3, 2, 3, 1, 3, 1, 2]","[278, 299, 179, 399, 339, 477, 439, 299]"
3,"[2.0, 6.0, 5.0]",22,88,2058,"[2, 1, 2, 3, 2]","[180, 238, 399, 439, 441]"
2,"[5.0, 8.0, 3.0]",16,3,5241,"[2, 1, 3, 2, 1, 2]","[517, 1016, 1056, 399, 678, 1117]"
1,"[3.0, 5.0, 8.0]",25,51,5322,"[1, 2, 3, 2, 1, 2, 3, 1]","[737, 519, 617, 320, 1078, 459, 897, 219]"
