choice,value,subject,trial,rt,fixations,fix_times
3,"[3.0, 4.0, 2.0]",26,95,3182,"[2, 3, 1, 2, 3]","[219, 359, 259, 716, 1217]"
2,"[3.0, 2.0, 1.0]",1,33,1350,"[2, 3, 1, 2]","[139, 179, 318, 180]"
3,"[8.0, 5.0, 9.0]",18,83,6834,"[1, 3, 2, 1, 3, 1, 3, 1]","[753, 499, 1076, 755, 857, 877, 498, 932]"
3,"[5.0, 8.0, 6.0]",16,81,6183,"[1, 3, 2, 1, 2, 3, 2, 3]","[498, 797, 844, 558, 279, 1674, 838, 139]"
3,"[6.0, 2.0, 7.0]",13,19,1786,"[1, 3, 2, 3, 1]","[338, 259, 484, 219, 20]"
2,"[5.0, 4.0, 2.0]",30,29,1865,"[1, 2, 3, 1, 2]","[299, 278, 340, 339, 40]"
2,"[7.0, 9.0, 3.0]",11,50,1371,"[1, 2, 3, 1, 2]","[199, 160, 164, 200, 20]"
1,"[8.0, 7.0, 3.0]",28,18,1807,"[2, 1, 3, 2]","[219, 497, 341, 334]"
1,"[8.0, 5.0, 7.0]",25,70,5722,"[2, 1, 3, 2, 1, 2, 1]","[836, 718, 757, 418, 1635, 398, 481]"
3,"[1.0, 6.0, 3.0]",6,43,7494,"[1, 2, 3, 2, 1, 2, 3, 2, 3]","[459, 358, 937, 99, 579, 2053, 1177, 1137, 20]"
2,"[8.0, 4.0, 3.0]",19,72,1474,"[3, 2, 1]","[303, 253, 305]"
1,"[2.0, 3.0, 1.0]",30,13,1967,"[1, 3, 2, 1]","[338, 339, 459, 459]"
2,"[7.0, 5.0, 3.0]",25,40,3234,"[2, 1, 3, 2]","[897, 361, 936, 657]"
2,"[6.0, 8.0, 5.0]",5,65,2112,"[2, 1, 3, 2]","[259, 259, 359, 757]"
1,"[7.0, 4.0, 2.0]",30,64,1420,"[3, 1, 2]","[259, 597, 222]"
1,"[10.0, 2.0, 5.0]",13,4,1510,"[2, 1, 3]","[380, 260, 319]"
2,"[9.0, 5.0, 10.0]",23,88,2530,"[1, 2, 3, 2]","[338, 457, 559, 777]"
2,"[7.0, 9.0, 5.0]",28,94,1434,"[1, 3, 2, 1]","[240, 239, 418, 139]"
3,"[2.0, 5.0, 10.0]",20,30,2659,"[2, 1, 3]","[1076, 822, 404]"
3,"[4.0, 8.0, 10.0]",18,67,2349,"[2, 1, 3]","[817, 378, 778]"
2,"[3.0, 8.0, 5.0]",2,78,2711,"[2, 3, 1, 3, 2]","[319, 279, 818, 518, 140]"
1,"[8.0, 6.0, 4.0]",15,25,1421,"[2, 1, 3, 1]","[256, 380, 345, 81]"
1,"[4.0, 6.0, 1.0]",27,63,892,"[3, 1]","[99, 458]"
2,"[2.0, 6.0, 3.0]",28,46,1527,"[3, 1, 2]","[201, 298, 739]"
2,"[2.0, 9.0, 1.0]",29,35,1998,"[2, 3, 1, 2]","[497, 198, 418, 520]"
2,"[3.0, 6.0, 2.0]",13,20,2718,"[1, 2, 3, 1]","[298, 339, 458, 1218]"
3,"[2.0, 3.0, 4.0]",6,31,2384,"[3, 1, 2, 1, 3]","[159, 259, 419, 379, 738]"
2,"[1.0, 4.0, 6.0]",23,76,3491,"[1, 3, 1, 2, 3, 2]","[160, 379, 478, 907, 219, 401]"
3,"[7.0, 1.0, 6.0]",30,68,1480,"[1, 3, 2, 3]","[279, 299, 399, 146]"
2,"[2.0, 9.0, 8.0]",9,58,739,"[2, 1]","[199, 122]"
1,"[7.0, 5.0, 2.0]",26,63,886,"[2, 1]","[180, 399]"
2,"[1.0, 7.0, 6.0]",9,13,930,"[1, 2, 3]","[199, 279, 158]"
2,"[1.0, 3.0, 2.0]",1,100,2107,"[3, 2, 3, 1, 3, 2]","[100, 199, 259, 220, 160, 679]"
3,"[7.0, 3.0, 10.0]",13,45,1610,"[1, 3, 2, 1]","[178, 399, 280, 260]"
2,"[3.0, 5.0, 2.0]",3,17,997,"[1, 3]","[357, 140]"
3,"[7.0, 2.0, 6.0]",29,81,3610,"[1, 3, 2, 1, 2, 3]","[279, 498, 359, 537, 997, 437]"
3,"[3.0, 2.0, 8.0]",5,42,998,"[3, 1, 2]","[379, 240, 100]"
3,"[7.0, 1.0, 8.0]",26,78,1248,"[2, 3, 1]","[338, 459, 182]"
2,"[3.0, 5.0, 1.0]",16,54,8445,"[2, 3, 1, 2, 3, 1, 2, 1, 2]","[558, 1036, 518, 1534, 917, 578, 199, 2093, 367]"
1,"[6.0, 3.0, 1.0]",6,15,2678,"[2, 1, 2, 3, 1]","[399, 917, 179, 219, 40]"
2,"[3.0, 6.0, 2.0]",5,38,2878,"[3, 1, 2, 3, 1, 2]","[100, 378, 378, 538, 698, 219]"
1,"[4.0, 3.0, 1.0]",3,47,2592,[3],[877]
1,"[3.0, 1.0, 2.0]",1,23,1854,"[3, 2, 1, 3, 1]","[217, 219, 219, 458, 180]"
2,"[1.0, 9.0, 2.0]",29,55,2070,"[1, 3, 2, 1, 2]","[218, 379, 798, 120, 60]"
3,"[3.0, 4.0, 1.0]",29,98,6664,"[2, 1, 3, 2, 1, 3, 2, 3]","[99, 180, 457, 778, 518, 957, 2216, 816]"
2,"[9.0, 7.0, 3.0]",22,57,986,"[1, 2, 3]","[160, 378, 80]"
3,"[6.0, 2.0, 3.0]",2,91,1649,"[2, 3, 1, 2, 3]","[359, 180, 339, 338, 39]"
1,"[8.0, 6.0, 3.0]",2,49,1689,"[2, 1, 3, 2]","[239, 718, 359, 20]"
1,"[5.0, 2.0, 3.0]",12,100,1452,"[2, 1, 3, 1]","[359, 239, 279, 237]"
3,"[5.0, 2.0, 6.0]",2,53,1090,"[2, 3, 1]","[219, 437, 140]"
3,"[2.0, 5.0, 10.0]",13,33,1965,"[2, 1, 3, 2]","[298, 378, 379, 359]"
1,"[5.0, 2.0, 1.0]",7,79,6942,"[1, 3, 1, 2, 3, 1]","[538, 319, 459, 2831, 1554, 878]"
1,"[10.0, 3.0, 1.0]",4,26,957,[1],[697]
1,"[7.0, 8.0, 4.0]",20,100,1440,[2],[157]
3,"[6.0, 1.0, 8.0]",24,46,6883,"[1, 3, 2, 1, 3, 2, 3, 1, 3, 1, 2, 1, 3]","[280, 335, 563, 299, 340, 1115, 596, 518, 438, 279, 379, 498, 239]"
2,"[1.0, 9.0, 2.0]",12,42,948,"[2, 1, 3, 2]","[199, 160, 180, 80]"
3,"[3.0, 1.0, 5.0]",2,27,1347,"[2, 3, 1, 2]","[239, 379, 259, 60]"
3,"[4.0, 1.0, 3.0]",30,4,2075,"[1, 3, 2, 1, 3]","[319, 517, 419, 418, 41]"
2,"[3.0, 6.0, 5.0]",28,29,4476,"[1, 3, 2, 3, 2]","[322, 318, 479, 695, 2031]"
2,"[1.0, 3.0, 6.0]",12,66,1354,"[1, 3, 2]","[300, 240, 200]"
3,"[2.0, 3.0, 5.0]",3,39,1197,"[2, 1]","[259, 20]"
2,"[1.0, 5.0, 3.0]",6,94,1672,"[1, 2, 3, 2]","[199, 199, 498, 358]"
2,"[2.0, 9.0, 4.0]",7,38,4221,"[1, 3, 2]","[1595, 1634, 717]"
1,"[4.0, 1.0, 2.0]",10,48,2374,"[2, 3, 1, 3, 1]","[379, 359, 480, 579, 178]"
3,"[5.0, 2.0, 9.0]",18,17,2281,"[2, 1, 3]","[897, 338, 657]"
2,"[2.0, 6.0, 9.0]",23,53,2566,"[1, 2, 3, 1, 2]","[479, 399, 378, 479, 580]"
1,"[4.0, 1.0, 3.0]",17,95,1769,"[1, 3, 1]","[219, 100, 378]"
2,"[4.0, 3.0, 1.0]",27,41,1865,"[2, 1, 3, 2]","[258, 399, 418, 399]"
1,"[3.0, 1.0, 4.0]",2,90,2980,"[2, 1, 3, 2, 3, 1, 2, 1, 3]","[159, 180, 260, 379, 239, 101, 339, 339, 358]"
2,"[3.0, 6.0, 1.0]",30,93,1466,"[2, 3, 1, 2]","[199, 318, 299, 240]"
2,"[1.0, 5.0, 2.0]",29,1,3527,"[2, 1, 3, 2]","[219, 399, 399, 2093]"
3,"[5.0, 2.0, 8.0]",20,49,1809,"[2, 1, 3, 2]","[120, 142, 106, 511]"
1,"[4.0, 5.0, 2.0]",20,44,3472,"[1, 3, 2, 1, 3]","[469, 638, 382, 631, 516]"
3,"[3.0, 4.0, 8.0]",27,60,1761,"[3, 2, 1, 3]","[279, 339, 319, 459]"
3,"[2.0, 4.0, 10.0]",13,35,1660,"[2, 1, 3, 2]","[198, 159, 541, 200]"
3,"[4.0, 2.0, 7.0]",22,58,1987,"[2, 1, 3]","[140, 238, 1215]"
1,"[2.0, 8.0, 1.0]",17,59,1409,"[2, 3, 1]","[219, 198, 139]"
1,"[8.0, 3.0, 4.0]",18,98,2666,"[2, 1, 3, 1, 2, 1]","[552, 219, 421, 338, 454, 259]"
3,"[2.0, 1.0, 7.0]",14,24,1328,"[2, 1, 3]","[359, 439, 219]"
3,"[1.0, 2.0, 7.0]",11,28,1402,"[2, 3, 2, 1, 3]","[120, 219, 219, 200, 180]"
1,"[10.0, 3.0, 1.0]",19,71,1025,"[3, 1, 2]","[238, 359, 39]"
1,"[10.0, 3.0, 8.0]",13,100,2217,"[1, 3, 2, 1, 3]","[219, 478, 385, 479, 201]"
1,"[7.0, 4.0, 3.0]",22,86,2014,"[2, 3, 1, 2, 1]","[99, 100, 439, 300, 399]"
2,"[1.0, 8.0, 7.0]",15,52,1184,"[3, 2]","[498, 199]"
1,"[7.0, 3.0, 1.0]",14,78,1447,"[1, 2, 3, 1]","[325, 219, 279, 279]"
2,"[6.0, 5.0, 7.0]",25,83,9845,"[2, 1, 2, 3, 2, 1, 2, 3, 1, 3, 2]","[537, 897, 325, 240, 1176, 2192, 1970, 260, 518, 458, 438]"
2,"[3.0, 7.0, 6.0]",30,70,3548,"[2, 1, 3, 2, 3, 2]","[199, 159, 319, 737, 577, 857]"
2,"[2.0, 3.0, 1.0]",12,96,2052,"[3, 1, 2, 3, 1, 2]","[219, 179, 120, 319, 198, 359]"
2,"[2.0, 4.0, 1.0]",10,54,1437,"[3, 1, 2]","[299, 281, 519]"
3,"[2.0, 5.0, 6.0]",9,98,840,"[1, 3, 1]","[121, 378, 55]"
2,"[5.0, 6.0, 3.0]",16,63,6620,"[1, 3, 2, 1, 2]","[437, 3906, 957, 519, 380]"
2,"[1.0, 2.0, 3.0]",1,10,1450,"[2, 1, 3, 2]","[179, 98, 139, 558]"
1,"[2.0, 1.0, 3.0]",9,9,1252,"[1, 3, 2, 1]","[219, 259, 239, 179]"
3,"[7.0, 2.0, 6.0]",8,86,1384,"[1, 3]","[398, 699]"
2,"[1.0, 3.0, 2.0]",11,57,1632,"[1, 2, 3, 2]","[159, 378, 200, 320]"
1,"[6.0, 1.0, 3.0]",24,40,1815,"[1, 3, 2, 1]","[378, 299, 478, 338]"
3,"[5.0, 4.0, 8.0]",28,6,1892,"[1, 3, 2, 1]","[339, 717, 418, 80]"
1,"[9.0, 7.0, 1.0]",15,40,1141,"[2, 1, 3]","[239, 299, 279]"
2,"[3.0, 4.0, 5.0]",27,90,2446,"[1, 2, 3, 2]","[378, 279, 798, 579]"
2,"[5.0, 10.0, 3.0]",18,30,2707,"[2, 1, 3, 2]","[1076, 538, 419, 319]"
1,"[2.0, 4.0, 1.0]",26,99,2360,"[3, 2, 1, 3, 1]","[297, 458, 378, 579, 140]"
2,"[2.0, 10.0, 1.0]",20,48,1610,"[3, 1, 2, 3]","[158, 415, 402, 72]"
1,"[10.0, 5.0, 9.0]",23,87,1118,"[1, 2]","[217, 317]"
2,"[2.0, 6.0, 7.0]",30,33,1369,"[2, 3, 1, 2]","[339, 219, 220, 179]"
2,"[3.0, 6.0, 2.0]",5,90,2093,"[2, 1, 3, 2]","[298, 140, 379, 698]"
2,"[7.0, 9.0, 1.0]",22,93,964,"[1, 2]","[172, 478]"
1,"[6.0, 5.0, 4.0]",9,29,1153,"[2, 1, 3, 2]","[200, 260, 260, 100]"
1,"[8.0, 4.0, 2.0]",28,87,1509,"[2, 1, 3, 2]","[168, 110, 230, 214]"
1,"[9.0, 3.0, 10.0]",19,33,718,"[1, 3]","[216, 139]"
2,"[4.0, 8.0, 5.0]",13,90,2583,"[2, 1, 3, 2, 3, 1]","[160, 479, 259, 458, 380, 398]"
1,"[2.0, 1.0, 3.0]",1,44,1460,"[1, 2, 3, 1]","[160, 218, 359, 260]"
3,"[7.0, 4.0, 8.0]",15,50,1203,"[2, 1, 3]","[180, 180, 538]"
1,"[8.0, 4.0, 1.0]",24,65,2552,"[2, 1, 3, 2, 1]","[433, 239, 458, 438, 656]"
3,"[2.0, 1.0, 3.0]",1,96,1164,"[2, 3, 1, 3]","[199, 179, 378, 99]"
1,"[6.0, 7.0, 4.0]",23,98,2036,"[1, 3, 2, 1]","[253, 259, 302, 918]"
3,"[5.0, 6.0, 10.0]",23,26,2701,"[1, 2, 3]","[418, 678, 1235]"
1,"[8.0, 3.0, 2.0]",2,46,886,"[1, 3, 2]","[202, 200, 80]"
3,"[1.0, 4.0, 9.0]",20,74,1232,"[3, 2]","[20, 902]"
3,"[3.0, 5.0, 10.0]",7,1,4504,"[1, 3, 2, 1, 2, 3, 2]","[1396, 618, 399, 339, 418, 577, 80]"
2,"[4.0, 8.0, 6.0]",16,91,12330,"[2, 1, 3, 1, 2, 3, 1, 2]","[1594, 3088, 3609, 876, 1156, 1136, 198, 139]"
2,"[3.0, 4.0, 1.0]",4,74,1309,"[2, 3, 2]","[239, 379, 116]"
3,"[1.0, 3.0, 6.0]",1,16,950,"[2, 3, 2]","[119, 218, 339]"
3,"[1.0, 3.0, 5.0]",6,30,2676,"[2, 1, 3, 1, 2, 3, 2, 3]","[139, 199, 219, 299, 374, 298, 140, 359]"
1,"[3.0, 4.0, 2.0]",10,53,1538,"[3, 2, 1]","[239, 359, 579]"
2,"[4.0, 5.0, 2.0]",3,65,1333,[2],[976]
3,"[1.0, 6.0, 10.0]",27,12,2168,"[2, 3, 1, 2, 3]","[218, 301, 337, 518, 366]"
1,"[10.0, 8.0, 7.0]",24,10,1834,"[2, 3, 1, 2]","[418, 339, 478, 339]"
1,"[8.0, 6.0, 4.0]",27,18,1432,"[3, 1]","[258, 837]"
3,"[1.0, 2.0, 5.0]",12,68,1126,"[3, 1, 3]","[399, 200, 139]"
2,"[4.0, 6.0, 1.0]",30,56,1244,"[2, 1, 3, 2]","[259, 252, 280, 20]"
2,"[3.0, 5.0, 2.0]",21,57,1680,"[2, 1, 3, 1, 2]","[279, 279, 551, 159, 102]"
3,"[2.0, 4.0, 3.0]",7,17,10106,"[2, 1, 3, 1, 3, 2, 1, 3, 1]","[2073, 418, 159, 458, 1514, 1456, 677, 2572, 180]"
2,"[7.0, 4.0, 1.0]",22,3,3461,"[2, 1, 3, 2]","[459, 478, 717, 1416]"
2,"[1.0, 4.0, 2.0]",14,57,1756,"[1, 3, 2, 3]","[379, 338, 419, 300]"
2,"[1.0, 6.0, 3.0]",4,67,926,"[1, 3, 2]","[199, 179, 159]"
2,"[3.0, 6.0, 1.0]",13,30,2799,"[2, 1, 3, 2, 3, 1]","[119, 418, 140, 598, 233, 538]"
1,"[9.0, 10.0, 1.0]",23,25,4336,"[2, 3, 1, 2, 1]","[318, 499, 737, 897, 1076]"
1,"[4.0, 1.0, 2.0]",14,21,1818,"[2, 1, 3, 2]","[498, 359, 519, 100]"
3,"[4.0, 2.0, 5.0]",7,13,8313,"[1, 3, 1, 3, 2, 1, 3, 1, 2, 1]","[597, 200, 818, 1235, 758, 79, 298, 339, 1376, 1736]"
3,"[2.0, 4.0, 7.0]",14,65,2533,"[2, 1, 2, 1, 3]","[179, 239, 498, 438, 779]"
2,"[2.0, 10.0, 3.0]",7,42,6786,"[2, 3, 1, 3, 1, 2]","[1415, 199, 1813, 2113, 279, 539]"
2,"[3.0, 8.0, 2.0]",11,63,994,"[3, 1, 3]","[137, 318, 180]"
1,"[5.0, 2.0, 3.0]",5,83,1577,"[2, 1, 3]","[239, 218, 780]"
2,"[1.0, 3.0, 2.0]",4,55,1271,"[1, 2, 3]","[159, 398, 358]"
2,"[3.0, 9.0, 7.0]",22,18,1824,"[1, 2, 3, 1]","[298, 359, 359, 418]"
3,"[4.0, 2.0, 3.0]",14,50,2339,"[2, 1, 3, 1, 3]","[538, 319, 421, 317, 359]"
2,"[3.0, 1.0, 2.0]",4,66,1886,"[1, 3, 2, 3, 2]","[199, 199, 439, 498, 180]"
3,"[5.0, 6.0, 10.0]",2,62,990,"[3, 1]","[578, 20]"
1,"[2.0, 3.0, 1.0]",11,36,3970,"[2, 1, 3, 1, 2]","[356, 279, 380, 439, 2174]"
1,"[5.0, 4.0, 3.0]",2,85,1842,"[1, 3, 2, 1]","[139, 398, 279, 479]"
3,"[6.0, 3.0, 7.0]",5,60,2567,"[3, 1, 2, 3]","[199, 758, 414, 738]"
2,"[4.0, 8.0, 1.0]",24,67,3635,"[2, 1, 2, 1, 3, 2]","[572, 319, 857, 379, 977, 280]"
2,"[1.0, 3.0, 2.0]",11,42,1931,"[1, 3, 2, 1, 3]","[159, 383, 418, 518, 21]"
2,"[1.0, 5.0, 2.0]",4,7,2087,"[1, 3, 2, 1, 2, 1]","[139, 418, 558, 200, 279, 40]"
2,"[4.0, 8.0, 2.0]",10,59,1549,"[1, 2, 3]","[339, 299, 578]"
2,"[4.0, 6.0, 2.0]",21,2,2201,"[1, 3, 2]","[338, 299, 1117]"
3,"[1.0, 4.0, 2.0]",30,99,1752,"[3, 2, 1, 3]","[299, 220, 358, 459]"
2,"[6.0, 10.0, 4.0]",13,63,1224,"[1, 3, 1, 2, 3]","[100, 159, 140, 259, 139]"
1,"[5.0, 7.0, 6.0]",22,77,2208,"[2, 3, 2, 1, 3, 1]","[201, 278, 199, 260, 457, 419]"
2,"[3.0, 9.0, 8.0]",18,11,2203,"[2, 1, 3, 2]","[43, 457, 458, 738]"
3,"[3.0, 2.0, 6.0]",8,41,2181,"[1, 3]","[239, 1614]"
3,"[3.0, 2.0, 9.0]",29,17,2384,"[2, 3, 1]","[1097, 777, 180]"
1,"[6.0, 8.0, 4.0]",19,3,1734,"[2, 3, 1, 3, 1]","[20, 359, 358, 199, 221]"
1,"[3.0, 2.0, 1.0]",4,59,850,"[2, 1, 3]","[159, 304, 20]"
3,"[1.0, 2.0, 7.0]",1,9,1393,"[3, 1, 2, 3]","[298, 179, 180, 180]"
1,"[2.0, 1.0, 3.0]",14,30,3156,"[1, 3, 2, 1, 3, 1, 2, 1]","[280, 458, 239, 459, 558, 319, 299, 82]"
2,"[2.0, 4.0, 1.0]",21,74,9627,"[2, 1, 3, 2, 1, 2, 3, 1]","[100, 239, 376, 538, 1614, 2811, 199, 3269]"
2,"[8.0, 7.0, 6.0]",24,87,1541,"[1, 3, 2]","[198, 279, 619]"
2,"[2.0, 3.0, 1.0]",12,22,1230,"[3, 2, 1]","[278, 215, 318]"
1,"[7.0, 2.0, 1.0]",11,43,1653,"[2, 3, 1]","[318, 99, 682]"
1,"[10.0, 5.0, 4.0]",18,4,1873,"[2, 1, 2, 3, 2, 1]","[198, 279, 337, 258, 299, 41]"
2,"[4.0, 7.0, 2.0]",21,87,1618,"[1, 2, 3, 1, 2]","[418, 219, 279, 239, 120]"
1,"[3.0, 4.0, 2.0]",13,99,1121,"[2, 1, 3]","[179, 219, 179]"
1,"[7.0, 5.0, 8.0]",15,29,2190,"[2, 1, 3, 1]","[239, 458, 341, 559]"
3,"[8.0, 6.0, 5.0]",16,50,4509,"[2, 3, 1, 2, 3, 2, 3]","[338, 439, 418, 877, 378, 419, 1156]"
3,"[2.0, 4.0, 3.0]",13,9,4007,"[1, 3, 2, 1, 3]","[199, 399, 239, 937, 1575]"
2,"[4.0, 5.0, 1.0]",2,35,2470,"[1, 3, 2, 3, 1, 2]","[339, 259, 439, 479, 338, 139]"
2,"[3.0, 9.0, 4.0]",18,42,2797,"[2, 1, 3, 2]","[854, 339, 437, 818]"
2,"[4.0, 7.0, 2.0]",7,88,5791,"[2, 1, 3, 2]","[1913, 1137, 1973, 260]"
3,"[4.0, 2.0, 1.0]",14,69,2121,"[2, 3, 1, 2, 3, 1, 3]","[319, 159, 418, 339, 360, 59, 20]"
2,"[2.0, 6.0, 3.0]",28,82,1881,"[2, 3, 1, 2]","[239, 239, 577, 479]"
1,"[4.0, 1.0, 2.0]",14,97,1057,"[2, 1, 3]","[219, 338, 220]"
2,"[1.0, 2.0, 6.0]",12,89,1200,"[2, 3, 1, 2]","[164, 119, 112, 144]"
3,"[1.0, 3.0, 4.0]",24,43,3451,"[2, 3, 1, 3, 2, 3]","[755, 279, 537, 558, 578, 318]"
2,"[9.0, 5.0, 2.0]",7,87,2476,"[2, 1, 2]","[339, 1097, 260]"
2,"[5.0, 3.0, 1.0]",10,51,1632,"[3, 1, 2]","[179, 239, 818]"
3,"[4.0, 6.0, 5.0]",16,2,9112,"[1, 3, 2, 1, 3, 2, 3]","[736, 598, 2412, 697, 897, 2929, 358]"
2,"[2.0, 7.0, 3.0]",9,6,1078,"[2, 1, 3, 2]","[239, 120, 179, 81]"
1,"[3.0, 2.0, 1.0]",12,92,1597,"[2, 1, 3, 2, 1]","[139, 200, 180, 379, 320]"
1,"[8.0, 5.0, 7.0]",27,1,2024,"[3, 1, 2, 3, 1]","[199, 259, 220, 458, 477]"
1,"[4.0, 5.0, 1.0]",30,20,1724,"[2, 3, 1]","[160, 438, 617]"
1,"[5.0, 1.0, 4.0]",16,89,6460,"[1, 3, 2, 3, 1]","[536, 2450, 1375, 378, 1139]"
1,"[10.0, 6.0, 3.0]",20,97,941,[1],[213]
3,"[1.0, 3.0, 2.0]",1,94,988,"[3, 1, 2]","[338, 218, 100]"
3,"[5.0, 2.0, 9.0]",29,29,2012,"[2, 1, 3]","[235, 458, 937]"
1,"[7.0, 2.0, 3.0]",24,23,2865,"[1, 3, 2, 1, 3, 2, 1]","[318, 438, 439, 217, 419, 179, 379]"
2,"[5.0, 4.0, 6.0]",4,10,2067,"[2, 1, 3, 2]","[379, 239, 578, 518]"
3,"[1.0, 2.0, 3.0]",3,63,2258,"[1, 3, 2]","[377, 757, 240]"
2,"[1.0, 3.0, 2.0]",14,60,1764,"[1, 3, 2]","[299, 362, 786]"
1,"[5.0, 3.0, 1.0]",5,48,1314,"[2, 1, 3]","[339, 240, 398]"
1,"[10.0, 6.0, 1.0]",13,85,1313,"[2, 1, 2, 1, 3]","[179, 219, 239, 138, 100]"
3,"[1.0, 2.0, 3.0]",1,68,1312,"[3, 2, 1, 3]","[398, 239, 239, 119]"
1,"[9.0, 4.0, 2.0]",29,57,1815,"[1, 3, 1, 2, 1]","[202, 379, 319, 379, 81]"
1,"[5.0, 3.0, 2.0]",5,96,2277,"[2, 1, 3, 1]","[219, 359, 418, 817]"
1,"[4.0, 5.0, 1.0]",13,92,2474,"[2, 1, 3, 2, 1, 3]","[160, 277, 259, 578, 339, 379]"
2,"[2.0, 4.0, 3.0]",21,9,2614,"[2, 1, 3, 2]","[239, 239, 576, 1098]"
3,"[7.0, 2.0, 3.0]",9,10,962,"[2, 3, 1]","[239, 279, 181]"
2,"[6.0, 3.0, 5.0]",15,63,1575,"[3, 2, 1, 3]","[299, 339, 279, 239]"
3,"[3.0, 1.0, 8.0]",2,76,1199,"[3, 1, 2]","[498, 120, 221]"
3,"[3.0, 1.0, 4.0]",12,76,1042,"[3, 2, 3]","[179, 139, 320]"
1,"[8.0, 1.0, 4.0]",15,59,894,"[2, 1, 3]","[200, 260, 138]"
1,"[6.0, 4.0, 10.0]",23,99,1895,"[2, 3, 1]","[199, 401, 920]"
2,"[2.0, 7.0, 4.0]",30,90,1100,"[2, 3, 1, 2]","[180, 238, 265, 61]"
1,"[7.0, 2.0, 3.0]",21,11,6934,"[1, 3, 2, 1, 3, 1, 2, 1]","[318, 1295, 160, 777, 2154, 796, 338, 458]"
3,"[8.0, 2.0, 4.0]",10,20,3425,"[2, 1, 3, 2, 3, 1, 3]","[139, 458, 798, 399, 575, 479, 60]"
3,"[1.0, 2.0, 4.0]",3,80,2211,"[1, 2, 3, 1]","[458, 196, 438, 139]"
2,"[2.0, 5.0, 3.0]",10,67,1785,"[2, 1, 2, 3, 2]","[40, 219, 598, 498, 20]"
3,"[10.0, 2.0, 8.0]",27,49,1828,"[2, 3, 1, 2, 3]","[179, 238, 299, 498, 220]"
3,"[2.0, 1.0, 5.0]",11,56,2223,"[3, 1, 2, 3, 2]","[119, 299, 300, 763, 178]"
1,"[5.0, 4.0, 2.0]",5,27,1486,"[2, 1, 3, 2]","[278, 279, 339, 240]"
3,"[4.0, 1.0, 5.0]",2,18,3211,"[1, 2, 3, 1, 3]","[339, 299, 1370, 358, 181]"
2,"[5.0, 7.0, 4.0]",12,57,857,"[3, 1, 2]","[259, 198, 80]"
2,"[1.0, 3.0, 6.0]",1,15,864,"[2, 3]","[258, 238]"
2,"[3.0, 2.0, 1.0]",17,4,2789,"[2, 1, 3, 2, 3]","[179, 159, 280, 199, 716]"
3,"[2.0, 1.0, 3.0]",4,99,1924,"[2, 1, 3, 2, 3]","[278, 279, 439, 418, 100]"
1,"[6.0, 5.0, 2.0]",6,33,4040,"[2, 1, 3, 2, 1]","[199, 259, 418, 597, 2113]"
2,"[8.0, 5.0, 3.0]",19,45,1624,"[3, 1, 2]","[178, 202, 898]"
3,"[3.0, 2.0, 4.0]",13,69,1632,"[1, 3, 2]","[219, 677, 380]"
1,"[8.0, 4.0, 2.0]",19,42,1651,"[2, 3, 1, 2]","[99, 219, 621, 299]"
1,"[9.0, 6.0, 2.0]",30,97,1585,"[3, 2, 1]","[239, 378, 578]"
1,"[4.0, 2.0, 1.0]",3,4,1376,"[1, 3]","[437, 598]"
1,"[5.0, 2.0, 4.0]",5,20,2119,"[2, 1, 3, 1]","[378, 300, 657, 459]"
1,"[4.0, 2.0, 7.0]",4,94,683,"[1, 2]","[398, 21]"
3,"[4.0, 5.0, 8.0]",18,62,2273,"[1, 3, 2, 3]","[596, 379, 540, 397]"
1,"[8.0, 1.0, 3.0]",30,85,1693,"[3, 1, 2, 3]","[397, 519, 279, 119]"
3,"[1.0, 3.0, 2.0]",1,53,1246,"[2, 3, 1, 2]","[158, 219, 199, 359]"
3,"[5.0, 1.0, 3.0]",20,6,1680,"[3, 2, 1, 3]","[327, 275, 278, 199]"
3,"[3.0, 7.0, 9.0]",20,95,768,[3],[99]
2,"[5.0, 10.0, 6.0]",28,52,1366,"[2, 1, 3, 2]","[259, 200, 201, 297]"
3,"[2.0, 3.0, 7.0]",13,22,1754,"[1, 3, 2, 3]","[676, 259, 339, 79]"
3,"[4.0, 2.0, 3.0]",10,86,1541,"[2, 1, 3]","[20, 519, 664]"
1,"[8.0, 2.0, 6.0]",5,100,1341,"[2, 1, 3]","[338, 379, 260]"
2,"[4.0, 3.0, 1.0]",14,39,1955,"[1, 3, 2]","[657, 358, 618]"
3,"[6.0, 2.0, 10.0]",22,25,1185,"[2, 3]","[159, 717]"
1,"[8.0, 3.0, 5.0]",25,8,3086,"[1, 2, 3, 1]","[1038, 399, 518, 658]"
2,"[3.0, 5.0, 2.0]",14,81,1996,"[2, 1, 3, 2]","[239, 318, 380, 599]"
2,"[1.0, 5.0, 3.0]",6,76,2175,"[2, 1, 2, 3, 1, 3, 2]","[120, 199, 180, 120, 239, 382, 372]"
3,"[2.0, 1.0, 3.0]",14,15,1377,"[2, 1, 3]","[239, 219, 618]"
2,"[6.0, 10.0, 7.0]",23,54,1647,"[1, 2, 3, 1]","[318, 558, 239, 180]"
3,"[1.0, 3.0, 2.0]",12,60,2057,"[2, 1, 3]","[319, 457, 498]"
1,"[7.0, 4.0, 3.0]",7,6,4860,"[1, 2, 1, 3, 2, 3, 1]","[40, 20, 858, 462, 1116, 916, 557]"
